Customer_ID,Customer_Name,Segment,Customer_Total_Sales,Customer_Order_Count,First_Purchase,Last_Purchase,Customer_Lifetime_Days,Customer_Tier
CG-12520,Claire Gute,Consumer,1148.7800000000002,3,2016-10-15,2018-01-26,468,Silver
DV-13045,Darrin Van Huff,Corporate,1119.483,5,2017-06-12,2018-12-11,547,Silver
SO-20335,Sean O'Donnell,Consumer,2602.5755,6,2016-10-11,2018-12-01,781,Gold
BH-11710,Brosina Hoffman,Consumer,6255.351,8,2015-06-09,2018-12-07,1277,Platinum
AA-10480,Andrew Allen,Consumer,1790.5120000000002,4,2015-05-04,2018-04-15,1077,Silver
IM-15070,Irene Maddox,Consumer,4930.474,7,2015-12-19,2017-12-05,717,Platinum
HP-14815,Harold Pawlan,Home Office,1990.314,7,2015-05-06,2018-11-30,1304,Silver
PK-19075,Pete Kriz,Consumer,8646.934,12,2015-11-11,2018-12-21,1136,Platinum
AG-10270,Alejandro Grove,Consumer,2582.898,5,2015-05-13,2018-03-27,1049,Gold
ZD-21925,Zuschuss Donatelli,Consumer,1493.944,5,2015-08-27,2018-06-11,1019,Silver
KB-16585,Ken Black,Corporate,2744.742,12,2015-04-04,2018-05-14,1136,Gold
SF-20065,Sandra Flanagan,Consumer,763.5459999999999,7,2015-09-10,2018-11-01,1148,Bronze
EB-13870,Emily Burns,Consumer,2767.219,10,2015-05-05,2018-09-21,1235,Gold
EH-13945,Eric Hoffmann,Consumer,684.1709999999999,8,2015-07-02,2018-05-27,1060,Bronze
TB-21520,Tracy Blumstein,Consumer,4737.486,9,2015-10-17,2018-09-14,1063,Platinum
MA-17560,Matt Abelman,Home Office,4299.161,11,2015-08-08,2018-10-27,1176,Platinum
GH-14485,Gene Hale,Corporate,1361.2440000000001,2,2016-10-08,2017-12-08,426,Silver
SN-20710,Steve Nguyen,Home Office,3127.9592,7,2015-05-06,2018-10-12,1255,Gold
LC-16930,Linda Cazamias,Corporate,4492.946,8,2015-02-20,2018-11-19,1368,Platinum
RA-19885,Ruben Ausman,Corporate,3546.224,6,2015-04-08,2018-11-05,1307,Gold
ES-14080,Erin Smith,Corporate,4657.924,9,2015-10-02,2018-12-02,1157,Platinum
ON-18715,Odella Nelson,Corporate,1567.52,9,2015-09-13,2017-11-15,794,Silver
PO-18865,Patrick O'Donnell,Consumer,2493.214,7,2015-03-23,2018-12-30,1378,Gold
LH-16900,Lena Hernandez,Consumer,2295.332,9,2015-08-19,2018-12-09,1208,Gold
DP-13000,Darren Powers,Consumer,897.524,8,2015-01-03,2018-08-26,1331,Bronze
JM-15265,Janet Molinari,Corporate,1804.146,5,2015-08-25,2018-11-23,1186,Silver
TB-21055,Ted Butterfield,Consumer,1451.361,4,2017-06-17,2018-09-02,442,Silver
KM-16720,Kunst Miller,Consumer,4909.472,8,2015-03-30,2018-12-02,1343,Platinum
PS-18970,Paul Stevenson,Home Office,1278.639,8,2015-04-15,2018-10-22,1286,Silver
BS-11590,Brendan Sweed,Corporate,2454.928,6,2015-01-14,2018-11-25,1411,Gold
KD-16270,Karen Daniels,Consumer,8282.358,5,2015-11-11,2017-09-02,661,Platinum
HM-14980,Henry MacAllister,Consumer,736.276,4,2016-10-02,2018-04-27,572,Bronze
JE-15745,Joel Eaton,Consumer,6760.8150000000005,13,2015-06-22,2018-11-09,1236,Platinum
KB-16600,Ken Brennan,Corporate,983.922,7,2015-12-30,2018-12-29,1095,Bronze
SC-20770,Stewart Carmichael,Corporate,4492.657,7,2016-06-20,2018-11-19,882,Platinum
DN-13690,Duane Noonan,Consumer,2139.79,7,2015-09-20,2018-05-27,980,Silver
JC-16105,Julie Creighton,Corporate,858.576,5,2015-11-18,2018-11-03,1081,Bronze
CS-12400,Christopher Schild,Home Office,3651.8585000000003,9,2015-09-26,2018-12-28,1189,Platinum
PG-18895,Paul Gonzalez,Consumer,1987.164,9,2015-05-11,2018-11-03,1272,Silver
GM-14455,Gary Mitchum,Home Office,3078.624,6,2015-04-11,2018-12-14,1343,Gold
JS-15685,Jim Sink,Corporate,990.1959999999999,3,2017-06-14,2018-11-18,522,Bronze
KB-16315,Karl Braun,Consumer,1569.464,9,2015-08-26,2018-03-09,926,Silver
RB-19705,Roger Barcio,Home Office,2067.45,4,2016-08-22,2018-11-06,806,Silver
PN-18775,Parhena Norris,Home Office,1467.152,8,2016-08-07,2018-11-30,845,Silver
KD-16345,Katherine Ducich,Consumer,1888.964,6,2015-09-02,2018-11-19,1174,Silver
ER-13855,Elpida Rittenbach,Corporate,1245.788,3,2016-12-21,2017-11-04,318,Silver
RB-19465,Rick Bensley,Home Office,4715.466,12,2015-03-14,2018-12-21,1378,Platinum
GZ-14470,Gary Zandusky,Consumer,4355.150000000001,9,2015-08-05,2018-12-23,1236,Platinum
LC-16870,Lena Cacioppo,Consumer,2580.7039999999997,8,2016-05-03,2018-12-03,944,Gold
JM-15250,Janet Martin,Consumer,3159.1220000000003,6,2017-03-29,2018-11-23,604,Gold
PA-19060,Pete Armstrong,Home Office,729.408,6,2015-05-17,2018-09-18,1220,Bronze
CV-12805,Cynthia Voltz,Corporate,2370.3136,9,2017-05-09,2018-12-25,595,Gold
CL-12565,Clay Ludtke,Consumer,10880.546,12,2015-03-04,2018-03-21,1113,Platinum
RC-19960,Ryan Crowe,Consumer,652.644,4,2015-08-25,2018-09-11,1113,Bronze
DK-13090,Dave Kipp,Consumer,2650.557,7,2016-03-02,2018-11-18,991,Gold
GG-14650,Greg Guthrie,Corporate,2224.0,9,2015-10-31,2018-11-17,1113,Gold
SC-20725,Steven Cartwright,Consumer,5226.21,11,2015-06-03,2018-06-26,1119,Platinum
AD-10180,Alan Dominguez,Home Office,6106.88,8,2015-11-19,2018-12-01,1108,Platinum
